id, parent_id, category_name
5084, 4880, 'シラウオ科'
34820, 4882, 'シロカサゴ科'
5088, 4891, 'ジンベエザメ科'
5089, 4882, 'スギ科'
5090, 4871, 'スコプタルムス科'
5091, 4882, 'スズキ科'
5092, 4882, 'スズメダイ科'
5093, 4882, 'スダレダイ科'
5094, 4882, 'スナハゼ科'
5095, 4895, 'セキトリイワシ科'
5097, 4882, 'セントロポマス科'
5099, 4895, 'ソコイワシ科'
5103, 4887, 'ソコダラ科'
5105, 4906, 'ソコマトウダイ科'
5107, 4884, 'ソトイワシ科'
5108, 4902, 'ソトオリイワシ科'
5110, 4907, 'タイワンザメ科'
5111, 4882, 'タイワンドジョウ科'
5109, 4882, 'タイ科'
5112, 4882, 'タウエガジ科'
5113, 4885, 'タウナギ科'
5115, 4882, 'タカサゴイシモチ科'
5114, 4882, 'タカサゴ科'
5116, 4882, 'タカノハダイ科'
5117, 4882, 'タカベ科'
5118, 4882, 'タチウオ科'
5120, 4882, 'タナバタウオ科'
7456, 4878, 'タニノボリ科'
5123, 4887, 'タラ科'
5119, 4886, 'ダツ科'
7427, 4882, 'ダトニオイデス科'
5124, 4871, 'ダルマガレイ科'
5129, 4887, 'チゴダラ科'
5131, 4888, 'チョウザメ科'
5132, 4882, 'チョウセンバカマ科'
5133, 4882, 'チョウチョウウオ科'
5136, 4890, 'ツノザメ科'
5137, 4882, 'ツノダシ科'
5138, 4862, 'ツバクロエイ科'
5139, 4882, 'ツバサハゼ科'
5140, 4882, 'ツバメコノシロ科'
5141, 4882, 'テッポウウオ科'
5144, 4875, 'テングギンザメ科'
5145, 4891, 'テンジクザメ科'
5146, 4882, 'テンジクダイ科'
21075, 4882, 'ディノペルカ科'
5147, 4892, 'トウゴロウイワシ科'
5149, 4911, 'トカゲハダカ科'
5153, 4893, 'トゲウオ科'
14696, 4885, 'トゲウナギ科'
5156, 4886, 'トビウオ科'
5157, 4862, 'トビエイ科'
5158, 4882, 'トビギンポ科'
5159, 4882, 'トラギス科'
5160, 4907, 'トラザメ科'
5162, 14498, 'トンガリサカタザメ科'
5150, 4882, 'ドクウロコイボダイ科'
5154, 4878, 'ドジョウ科'
5155, 4907, 'ドチザメ科'
5163, 4882, 'ドンコ科'
5165, 4876, 'ナカムラギンメ科'
14551, 4863, 'ナギナタナマズ科'
5166, 4894, 'ナマズ科'
5167, 4892, 'ナミノハナ科'
5168, 4895, 'ニギス科'
5169, 4882, 'ニザダイ科'
5170, 4882, 'ニシキギンポ科'
5171, 4896, 'ニシン科'
5173, 4882, 'ニベ科'
5174, 4897, 'ヌタウナギ科'
5175, 4898, 'ネコザメ科'
